label,N,P,K,temperature,humidity,ph,rainfall
rice,79.89,47.58,39.87,23.68933221,82.27282154,6.425470922,236.1811136
maize,77.76,48.44,19.79,22.38920391,65.09224945,6.245189722,84.76698766
chickpea,40.09,67.79,79.92,18.87284675,16.86043942,7.336956624,80.05897726
kidneybeans,20.75,67.54,20.05,20.11508469,21.60535673,5.749410586,105.9197775
pigeonpeas,20.73,67.73,20.29,27.74176223,48.06163308,5.79417488,149.4575638
mothbeans,21.44,48.01,20.23,28.19492048,53.16041803,6.831174083,51.19848705
mungbean,20.99,47.28,19.87,28.52577474,85.49997454,6.72395694,48.4036009
blackgram,40.02,67.47,19.24,29.97333968,65.11842559,7.133951629,67.88415118
lentil,18.77,68.36,19.41,24.5090524,64.80478468,6.927931572,45.6804542
pomegranate,18.87,18.75,40.21,21.83784172,90.12550379,6.429171841,107.5284424
banana,100.23,82.01,50.05,27.37679831,80.35812258,5.98389318,104.6269804
mango,20.07,27.18,29.92,31.20877015,50.1565727,5.7663728,94.70451504
grapes,23.18,132.53,200.11,23.84957512,81.87522752,6.025936681,69.61182889
watermelon,99.42,17,50.22,25.59176724,85.16037529,6.495778302,50.78621894
muskmelon,100.32,17.72,50.08,28.66306576,92.34280196,6.358805452,24.68995207
apple,20.8,134.22,199.89,22.63094241,92.33338288,5.929662932,112.6547793
orange,19.58,16.55,10.01,22.7657255,92.17020876,7.016957453,110.4749687
papaya,49.88,59.05,50.04,33.72385874,92.40338768,6.741442373,142.6278389
coconut,21.98,16.93,30.59,27.40989217,94.84427181,5.976562126,175.6866458
cotton,117.77,46.24,19.56,23.9889579,79.84347425,6.912675496,80.39804312
jute,78.4,46.86,39.99,24.95837583,79.63986421,6.732777568,174.7927975
coffee,101.2,28.74,29.94,25.54047682,58.8698463,6.790308275,158.0662949
